,okz_subgroup,year,cv_avg_salary,cv_count,count_candidate,work_places,vacancy_count,vac_avg_salary,group_id,group_name
41,23,2019,25009.4585381842,3051,2160,17092,10748,9523.714545003379,2,Специалисты высшего уровня квалификаций
42,24,2019,28211.605038428694,4684,3506,6545,4437,11620.581286079263,2,Специалисты высшего уровня квалификаций
43,25,2019,35114.691379310345,580,427,2350,1349,16341.670348604654,2,Специалисты высшего уровня квалификаций
44,26,2019,30313.665278303673,5282,3719,7874,5351,10885.512355396906,2,Специалисты высшего уровня квалификаций
45,21,2020,42779.3500479693,15635,14195,20554,11275,15452.613366481843,2,Специалисты высшего уровня квалификаций
46,22,2020,31533.223451327434,6780,6248,26730,13254,13186.686716965716,2,Специалисты высшего уровня квалификаций
47,23,2020,27462.44450080311,11829,10902,16953,11435,10090.097456522435,2,Специалисты высшего уровня квалификаций
48,24,2020,32845.911143894686,17624,16154,6231,4119,12358.621666615787,2,Специалисты высшего уровня квалификаций
49,25,2020,39738.192444761225,2806,2581,2705,1458,16507.80015884556,2,Специалисты высшего уровня квалификаций
50,26,2020,36820.38319004646,18727,17008,7696,5387,11306.672817264027,2,Специалисты высшего уровня квалификаций
51,21,2021,46215.96058823529,5100,4710,17378,10445,16807.820442704626,2,Специалисты высшего уровня квалификаций
52,22,2021,34244.39148148148,2700,2529,21964,11123,13591.053472884458,2,Специалисты высшего уровня квалификаций
53,23,2021,28972.437575174405,4157,3907,17288,11337,10523.531182900571,2,Специалисты высшего уровня квалификаций
54,24,2021,36064.37870239774,5672,5331,6430,4066,13245.581048184447,2,Специалисты высшего уровня квалификаций
55,25,2021,42148.84210526316,893,842,2122,1299,18052.451647585945,2,Специалисты высшего уровня квалификаций
56,26,2021,40801.296089385476,6265,5816,7300,5224,11790.83080140654,2,Специалисты высшего уровня квалификаций
57,31,2016,35419.87214611872,1752,1011,14,5,19166.75,3,Специалисты среднего уровня квалификации
58,32,2016,22438.271604938273,81,46,3,3,5728.666666666667,3,Специалисты среднего уровня квалификации
59,34,2016,19915.631081081083,740,440,5,5,10165.5,3,Специалисты среднего уровня квалификации
60,31,2017,35923.11345411345,6734,3912,2323,842,12232.349954263367,3,Специалисты среднего уровня квалификации
61,32,2017,18574.667621776505,349,208,127,81,8444.596402682913,3,Специалисты среднего уровня квалификации
62,33,2017,23198.12053069485,4447,2678,1462,396,10640.716836451093,3,Специалисты среднего уровня квалификации
63,34,2017,19723.461485792537,2921,1807,1882,874,8248.573882127586,3,Специалисты среднего уровня квалификации
64,35,2017,21829.797872340427,376,231,7,7,6739.142857142857,3,Специалисты среднего уровня квалификации
65,31,2018,36175.66803874092,4130,2406,22682,6984,13040.68991359503,3,Специалисты среднего уровня квалификации
66,32,2018,22013.769736842107,304,165,1034,505,8861.470514957497,3,Специалисты среднего уровня квалификации
67,33,2018,24480.311165344723,3278,1908,12875,3496,10559.820554677532,3,Специалисты среднего уровня квалификации
68,34,2018,21940.325393449595,2351,1406,16072,7899,8789.377469967345,3,Специалисты среднего уровня квалификации
69,35,2018,28037.19008264463,242,144,76,69,9884.705134908085,3,Специалисты среднего уровня квалификации
70,31,2019,31126.10671067107,2727,1953,19302,6482,13807.48108731624,3,Специалисты среднего уровня квалификации
71,32,2019,21134.951020408163,245,142,920,383,9991.063487724316,3,Специалисты среднего уровня квалификации
72,33,2019,26355.158057395143,2265,1492,13408,3355,11304.507814536502,3,Специалисты среднего уровня квалификации
73,34,2019,20622.06549520767,1878,1372,15146,7197,9489.066525274367,3,Специалисты среднего уровня квалификации
74,35,2019,26227.308943089432,123,89,111,85,11234.224134543758,3,Специалисты среднего уровня квалификации
75,31,2020,36976.96649362907,8476,7828,20868,6890,14523.319122449231,3,Специалисты среднего уровня квалификации
76,32,2020,29551.40590405904,1084,1013,847,456,10948.060241462876,3,Специалисты среднего уровня квалификации
77,33,2020,30213.570401083092,11818,10919,11047,3248,11725.657046235574,3,Специалисты среднего уровня квалификации
78,34,2020,27350.72387284438,14439,13615,15522,6765,10150.188515168004,3,Специалисты среднего уровня квалификации
79,35,2020,28802.25137614679,545,487,95,78,10922.772435897436,3,Специалисты среднего уровня квалификации
80,31,2021,38210.50104197678,3359,3023,20307,7091,15470.949700557701,3,Специалисты среднего уровня квалификации
